source_url	title	author	book_journal	pub_date	pub_place	publisher	enumcron	pages_orig	pages_digital	new digital range	page_count	added	updated	item_type	source_id		side notes (poetry, couldn't find article, item unavailable, original pages differentiate)
https://hdl.handle.net/2027/uc1.b3924129	The Pedigree of English Heroic Verse	Cayley, C. B.	Transactions of the Philological Society	1867	Oxford [etc.]	Society by B. Blackwell	1867	43-54	51-60	correct	10	2018-01-23 15:09:52	2021-08-05 09:52:09	Article	uc1.b3924129		
https://hdl.handle.net/2027/njp.32101075672509	Phrasal Prosody	Weeks, Ruth M.	English journal.	1921	Urbana, Ill.	National Council of Teachers of English	vol.10 (Jan-Dec.1921)	11-19	19-27	correct	9	2018-01-23 14:56:31	2021-08-05 09:51:59	Article	njp.32101075672509		
https://hdl.handle.net/2027/uc1.b3293449	The Physiology of Versification	Holmes, Oliver Wendell, 1809-1894	Pages from an old volume of life ; a collection of essays, 1857-1881	1889	Boston	Houghton, Mifflin and Co.		315-321	329-335	correct	7	2018-01-23 15:10:40	2022-12-12 11:51:51	Excerpt	uc1.b3293449		
https://hdl.handle.net/2027/loc.ark:/13960/t1fj37n7j	The Physiology of Versification	Holmes, Oliver Wendell, 1809-1894	Pages from an old volume of life: a collection of essays, 1857-1881	1899	Boston	Houghton, Mifflin and company		315-321	329-335	correct	7	2018-01-23 14:45:59	2022-12-12 11:44:08	Excerpt	loc.ark:/13960/t1fj37n7j		
https://hdl.handle.net/2027/loc.ark:/13960/t9280zf6z	The Physiology of Versification	Holmes, Oliver Wendell, 1809-1894	Pages from an old volume of life ; a collection of essays, 1857-1881	1883	Boston	Houghton, Mifflin and Co.		315-321	325-331	correct	7	2018-01-23 14:45:11	2022-12-12 11:57:04	Excerpt	loc.ark:/13960/t9280zf6z		
https://hdl.handle.net/2027/njp.32101076200664	The Place of an Adverb: A Study of Rhythm	Fijn Van Draat, P	Neophilologus.	1921	Groningen	Wolters	vol.6	56-88	70-102	correct	33	2018-01-23 14:56:09	2021-08-05 09:51:54	Article	njp.32101076200664		
https://hdl.handle.net/2027/njp.32101076403425	A Plea for Certain Exotic Forms of Verse	Gosse, Edmund.	The Cornhill magazine.	1877	London	Smith, Elder and Company	v.36 (July-Dec 1877)	53-71	71-89	73-91	19	2018-01-23 14:56:00	2021-08-05 09:51:52	Article	njp.32101076403425		
https://hdl.handle.net/2027/mdp.39015060429340	Poems in the Stanza of In Memoriam	Morton, Edward P.	Modern language notes.	1909	Baltimore	Johns Hopkins Press [etc.]	v.24 1909	67-70	99-102	95-98	4	2018-01-23 14:47:54	2021-08-05 09:51:40	Article	mdp.39015060429340		
https://hdl.handle.net/2027/mdp.39015003348201	The Poet	Emerson, Ralph Waldo.	Essays ... 		New York	Home book company	v.2	5-37	11-43	correct	33	2018-01-23 14:54:31	2021-08-05 09:54:16	Excerpt	mdp.39015003348201		
https://hdl.handle.net/2027/mdp.39015067091739	The Poet	Emerson, Ralph Waldo.	The complete works of Ralph Waldo Emerson, 	1903	Boston 	Houghton, Mifflin and company	v.3	1-42	13-54	correct	42	2018-01-23 14:47:01	2023-03-02 13:49:57	Excerpt	mdp.39015067091739		
https://hdl.handle.net/2027/mdp.39015059896285	Poetry	Bayly, AnselmMatthew, James E.	The alliance of musick, poetry and oratory. Under the head of poetry is considered the alliance and nature of the epic and dramatic poem, as it exists in the Iliad, Aeneid and Paradise Lost.	1789	London	John Stockdale		79-319	103-351	105-355	249	2018-01-23 14:48:06	2023-07-22 03:57:31	Excerpt	mdp.39015059896285		
https://hdl.handle.net/2027/mdp.39015060430397	The Poetry of Skelton: A Renaissance Survival of Medieval Latin Influence	Berdan, John M.	Romanic review	1915	New York	Dept. of French and Romance Philology of Columbia University [etc.]	v.6 1915	364-77	514-539	512-537	26	2018-01-23 14:47:37	2021-08-05 09:51:38	Article	mdp.39015060430397		
https://hdl.handle.net/2027/inu.30000099860565	Poetry, Prose, and Rhythm	Lotspeich, C. M.	Publications of the Modern Language Association of America	1922	Baltimore	The Association	v.37 1922	293-310	295-312	305-322	18	2018-01-23 14:44:45	2021-08-05 09:51:34	Article	inu.30000099860565		
https://hdl.handle.net/2027/njp.32101073025528	The Practice of Writing English in Classical Metres	Oxenford, John.	The Classical museum.	1846	London	J. W. Parker [etc.]	v.3	279-83	299-303	correct	5	2018-01-23 14:57:09	2021-08-05 09:52:00	Article	njp.32101073025528		
https://hdl.handle.net/2027/hvd.32044090276395	Preface	Child, Francis James, 1825-1896	English and Scottish ballads	1866	Boston	Little, Brown & co.	v.1	i-xii	9-20	correct	12	2023-08-22 13:47:30	2023-08-22 13:48:57	Excerpt	hvd.32044090276395		
https://hdl.handle.net/2027/hvd.hwilnp	Preface to his Ode for the Bicentenary Commemoration of Henry Purcell, with other poems and a preface on the musical setting of poetry	Bridges, Robert.	Ode for the bicentenary commemoration of Henry Purcell : with other poems and a preface on the musical setting of poetry	1896	London 	Elkin Mathews		5-18	11-24	correct	14	2018-01-23 14:39:21	2021-08-05 09:54:15	Excerpt	hvd.hwilnp		
https://hdl.handle.net/2027/dul1.ark:/13960/t6d23816n	Preface [to Lyrical Ballads]	Wordsworth, William.	Lyrical ballads, with other poems: in two volumes. 	1802	Philadelphia 	James Humphreys	v.1	v-xxii	11-28	correct	18	2018-01-23 14:37:12	2021-08-05 09:54:09	Excerpt	dul1.ark:/13960/t6d23816n		
https://hdl.handle.net/2027/njp.32101075716934	A Principle of Prosody	Jones, Llewellyn	The Freeman.	1922	New York	Freeman	vol.5 (1922)	162	180	correct	1	2018-01-23 14:56:17	2021-08-05 09:51:56	Article	njp.32101075716934		
https://hdl.handle.net/2027/njp.32101075716934	Principles of Prosody	Russell, C. E. 	The Freeman.	1922	New York	Freeman	vol.5 (1922)	402	420	correct	1	2021-08-05 09:51:56	2021-08-05 09:51:56	Article	njp.32101075716934		
https://hdl.handle.net/2027/njp.32101076199239	The Pronunciation of Greek and Latin Prose, or Ictus, Accent, and Quantity in Greek and Latin Prose and Poetry	Miller, C. W. E	Transactions and proceedings of the American Philological Association.	1922	[Cleveland]	Association by the Press of Case Western Reserve University	vol.53 (1922)	169-97	181-209	183-211	29	2018-01-23 14:56:10	2021-08-05 09:51:54	Article	njp.32101076199239		
https://hdl.handle.net/2027/hvd.hnqbsv	Proper Names in Old English Verse	Bright, James W.	Publications of the Modern Language Association of America	1899	Baltimore	The Association	v.14 (1899)	347-68	375-396	correct	22	2018-01-23 14:40:01	2023-04-25 11:06:02	Article	hvd.hnqbsv		
https://hdl.handle.net/2027/nyp.33433081647616	Prose and Verse: De Quincey	Masson, David	The British quarterly review.	1854	London	Hodder and Stoughton [etc.]	v. 20 (July - Oct. 1854)	163	169	173	1	2018-01-23 15:04:32	2021-08-05 09:52:05	Article	nyp.33433081647616		*text continues after 163-- pages_orig = 163-188, pages_digital = 173-198
https://hdl.handle.net/2027/njp.32101037023239	Prosodical Grammar	Sheridan, Thomas.	A complete dictionary of the English language, both with regard to sound and meaning ... To which is prefixed a prosodial grammar.	1789	London	C. Dilly		v-lv	17-67	correct	51	2018-01-23 14:59:08	2021-08-05 09:54:22	Excerpt	njp.32101037023239		
https://hdl.handle.net/2027/njp.32101037601646	Prosodical Grammar	Sheridan, Thomas.	A dictionary of the English language, both with regard to sound and meaning ... To which is prefixed a prosodial grammar.	1794	London	W. Stewart		5-39	11-45	correct	35	2018-01-23 14:59:08	2021-08-05 09:54:22	Excerpt	njp.32101037601646		
https://hdl.handle.net/2027/njp.32101063578791	Prosody	Monroe, Harriet.	Poetry.	1922	Chicago	Harriet Monroe	vol.20 (1922)	148-52	172-176	correct	5	2018-01-23 14:58:42	2021-08-05 09:52:01	Article	njp.32101063578791		
https://hdl.handle.net/2027/hvd.32044012418034	Prosody	Barnes, William	A philological grammar, grounded upon English, and formed from a comparison of more than sixty languages. Being an introduction to the science of grammar and a help to grammars of all languages, especially English, Latin and Greek.	1854	London	J.R. Smith		261-76	279-294	correct	16	2018-01-23 14:44:01	2023-04-25 14:29:15	Excerpt	hvd.32044012418034		
https://hdl.handle.net/2027/ucm.5326809190	Prosody.	Johnson, Dr. Samuel.	A dictionary of the English language : in which the words are deduced from their originals, and illustrated in their different significations by examples from the best writers, to which are prefixed, a history of the language, and an English grammar	1755	London	W. Strahan	T. I		57-59	55-56	3	2018-01-23 15:15:10	2021-08-05 09:54:32	Excerpt	ucm.5326809190		
https://hdl.handle.net/2027/mdp.39015054289338	Prosody from Chaucer to Spenser	Saintsbury, George.	The Cambridge history of English literature 	1909	Cambridge 	The University press	v. 3	273-88	289-304	correct	16	2018-01-23 14:48:47	2021-08-05 09:54:19	Excerpt	mdp.39015054289338		
